순번,변수,라벨,문항그룹,유형,결측률(%),고유값수,값설명,노트북사용
1,IDX,ID,식별·행정 (공표 시 대부분 삭제),삭제됨(전량결측),100.0,0,,
2,LIST,명부 연번,식별·행정 (공표 시 대부분 삭제),삭제됨(전량결측),100.0,0,,
3,NO0,"가구원NO (가구주는 무조건 1번, 그 외 순차적으로)",식별·행정 (공표 시 대부분 삭제),수치형,0.0,6,범위 1~6,O
4,CO11,행정구역코드1,식별·행정 (공표 시 대부분 삭제),범주형(코드),0.0,17,11=서울; 21=부산; 22=대구; 23=인천; 24=광주; 25=대전; 26=울산; 29=세종; 31=경기; 32=강원; 33=충북; 34=충남; 35=전북; 36=전남; 37=경북; 38=경남; 39=제주,O
5,CO12,행정구역코드2,식별·행정 (공표 시 대부분 삭제),수치형,0.0,66,범위 10~460,
6,CO13,행정구역코드3,식별·행정 (공표 시 대부분 삭제),수치형,0.0,58,범위 11~94,
7,CO21,조사구번호1,식별·행정 (공표 시 대부분 삭제),수치형,0.0,224,범위 1~749,
8,CO22,조사구번호2,식별·행정 (공표 시 대부분 삭제),수치형,0.0,2,범위 0~1,
9,CO30,거처번호,식별·행정 (공표 시 대부분 삭제),삭제됨(전량결측),100.0,0,,
10,CO40,가구번호,식별·행정 (공표 시 대부분 삭제),삭제됨(전량결측),100.0,0,,
11,CO50,표본가구여부,식별·행정 (공표 시 대부분 삭제),범주형(코드),0.0,2,1=표본가구; 2=대체가구,
12,ADD1_1,구주소(시/도),식별·행정 (공표 시 대부분 삭제),삭제됨(전량결측),100.0,0,,
13,ADD1_2,구주소(시/군/구),식별·행정 (공표 시 대부분 삭제),삭제됨(전량결측),100.0,0,,
14,ADD1_3,구주소(읍/면/동),식별·행정 (공표 시 대부분 삭제),삭제됨(전량결측),100.0,0,,
15,SQ1,전체 가구원수,SQ. 선문항 — 가구원수·주거형태·성별·출생연월,수치형,0.0,7,범위 1~7,
16,SQ2,적격대상 가구원수 (만15세 이상),SQ. 선문항 — 가구원수·주거형태·성별·출생연월,수치형,0.0,6,범위 1~6,
17,SQ3,가구원 현황,SQ. 선문항 — 가구원수·주거형태·성별·출생연월,범주형(코드),0.0,4,1=1인 가구; 2=2인 가구; 3=3인 가구; 4=4인 이상 가구,O
