,우선확충지수,z_가중치,인구,목표_1pct_명,배정회차,충족인원,충족률_pct
서울,100.0,1.59,9331828,93318,312,93318,100.0
대구,97.3,1.5,2363629,23636,79,23636,100.0
인천,84.1,1.08,3021010,30210,101,30210,100.0
세종,79.6,0.94,390685,3906,14,3906,100.0
부산,76.2,0.83,3266598,32665,109,32665,100.0
경기,66.9,0.53,13694685,136946,457,136946,100.0
경북,64.2,0.45,2531384,25313,85,25313,100.0
강원,58.2,0.25,1517766,15177,51,15177,100.0
울산,42.8,-0.24,1098049,10980,0,0,0.0
충남,42.3,-0.25,2136574,21365,0,0,0.0
광주,40.5,-0.31,1408422,14084,0,0,0.0
충북,30.5,-0.63,1591177,15911,0,0,0.0
제주,30.1,-0.64,670368,6703,0,0,0.0
대전,22.9,-0.87,1439157,14391,0,0,0.0
경남,16.9,-1.07,3228380,32283,0,0,0.0
전남,1.6,-1.55,1788819,17888,0,0,0.0
전북,0.0,-1.61,1738690,17386,0,0,0.0
