sido,인구,z_가중치,우선확충지수,기존참여_2023
서울,9331828.0,1.590950145080681,100.0,0.0
부산,3266598.0,0.8289154669689129,76.2,0.0
대구,2363629.0,1.5036906641407155,97.3,0.0
인천,3021010.0,1.081107640652108,84.1,0.0
광주,1408422.0,-0.31100050126910594,40.5,0.0
대전,1439157.0,-0.873138692611355,22.9,43287.0
울산,1098049.0,-0.23893182585773676,42.8,8073.0
세종,390685.0,0.9390244699804167,79.6,0.0
경기,13694685.0,0.5318546453602272,66.9,5436.0
강원,1517766.0,0.25481872261290495,58.2,153918.0
충북,1591177.0,-0.6321461815807106,30.5,8393.0
충남,2136574.0,-0.2545643975680821,42.3,7277.0
전북,1738690.0,-1.6058291105939173,0.0,0.0
전남,1788819.0,-1.5539898830212406,1.6,86217.0
경북,2531384.0,0.44743182682966987,64.2,258355.0
경남,3228380.0,-1.0650552988132695,16.9,0.0
제주,670368.0,-0.6431376903102184,30.1,0.0
