sido,인구,z_가중치,우선확충지수,기존참여_2023,목표인원,운영횟수,충족인원,사용예산_원,인구비례_횟수,기존참여비례_횟수
서울,9331828.0,1.590950145080681,100.0,0.0,93318.28,312,93318.28,1036236767.8069763,220.0,1.0
부산,3266598.0,0.8289154669689129,76.2,0.0,32665.98,109,32665.98,362018614.3941039,77.0,1.0
대구,2363629.0,1.5036906641407155,97.3,0.0,23636.29,79,23636.29,262380463.6434331,56.0,1.0
인천,3021010.0,1.081107640652108,84.1,0.0,30210.100000000002,101,30210.1,335448440.8605917,71.0,1.0
광주,1408422.0,-0.3110005012691059,40.5,0.0,14084.220000000001,0,0.0,0.0,33.0,1.0
대전,1439157.0,-0.873138692611355,22.9,43287.0,14391.57,0,0.0,0.0,34.0,91.0
울산,1098049.0,-0.2389318258577367,42.8,8073.0,10980.49,0,0.0,0.0,26.0,17.0
세종,390685.0,0.9390244699804168,79.6,0.0,3906.85,14,3906.85,46497803.68364637,9.0,1.0
경기,13694685.0,0.5318546453602272,66.9,5436.0,136946.85,457,136946.85,1517821163.101885,323.0,12.0
강원,1517766.0,0.2548187226129049,58.2,153918.0,15177.66,51,15177.66,169384856.27614036,36.0,323.0
충북,1591177.0,-0.6321461815807106,30.5,8393.0,15911.77,0,0.0,0.0,38.0,18.0
충남,2136574.0,-0.2545643975680821,42.3,7277.0,21365.74,0,0.0,0.0,50.0,15.0
전북,1738690.0,-1.6058291105939173,0.0,0.0,17386.9,0,0.0,0.0,41.0,1.0
전남,1788819.0,-1.5539898830212406,1.6,86217.0,17888.19,0,0.0,0.0,42.0,181.0
경북,2531384.0,0.4474318268296698,64.2,258355.0,25313.84,85,25313.84,282308093.79356724,60.0,542.0
경남,3228380.0,-1.0650552988132695,16.9,0.0,32283.8,0,0.0,0.0,76.0,1.0
제주,670368.0,-0.6431376903102184,30.1,0.0,6703.68,0,0.0,0.0,16.0,1.0
