CO11,CO12,CO13,sido,sigungu
31,60,64,경기,광명시
31,150,73,경기,시흥시
31,70,51,경기,평택시
11,230,75,서울,강남구
11,80,82,서울,성북구
11,80,85,서울,성북구
11,230,67,서울,강남구
31,70,11,경기,평택시
31,70,62,경기,평택시
31,240,12,경기,화성시
31,180,63,경기,하남시
31,220,53,경기,안성시
11,110,77,서울,노원구
11,110,65,서울,노원구
11,20,68,서울,중구
31,14,66,경기,수원시영통구
11,240,71,서울,송파구
11,240,81,서울,송파구
11,240,77,서울,송파구
11,110,58,서울,노원구
31,14,60,경기,수원시영통구
11,100,59,서울,도봉구
23,40,52,인천,연수구
23,40,56,인천,연수구
31,60,60,경기,광명시
31,150,62,경기,시흥시
31,150,51,경기,시흥시
31,13,70,경기,수원시팔달구
31,21,54,경기,성남시수정구
11,230,76,서울,강남구
11,230,79,서울,강남구
31,21,58,경기,성남시수정구
11,20,71,서울,중구
31,120,51,경기,구리시
11,200,71,서울,동작구
31,240,70,경기,화성시
11,200,53,서울,동작구
23,50,51,인천,남동구
23,50,75,인천,남동구
31,240,60,경기,화성시
31,30,60,경기,의정부시
11,140,74,서울,마포구
31,12,62,경기,수원시권선구
31,12,54,경기,수원시권선구
23,80,74,인천,서구
23,80,80,인천,서구
11,140,78,서울,마포구
23,80,86,인천,서구
31,103,54,경기,고양시일산동구
31,101,65,경기,고양시덕양구
11,130,62,서울,서대문구
11,120,59,서울,은평구
23,50,72,인천,남동구
11,150,71,서울,양천구
31,42,60,경기,안양시동안구
23,80,51,인천,서구
23,80,58,인천,서구
11,120,72,서울,은평구
11,120,67,서울,은평구
31,130,13,경기,남양주시
31,380,41,경기,양평군
31,380,11,경기,양평군
11,170,55,서울,구로구
11,200,63,서울,동작구
11,210,81,서울,관악구
11,70,71,서울,중랑구
11,140,73,서울,마포구
31,30,55,경기,의정부시
31,13,54,경기,수원시팔달구
31,11,62,경기,수원시장안구
11,170,62,서울,구로구
31,30,65,경기,의정부시
31,200,54,경기,파주시
31,41,57,경기,안양시만안구
31,160,57,경기,군포시
11,140,59,서울,마포구
31,42,56,경기,안양시동안구
31,160,52,경기,군포시
11,190,61,서울,영등포구
11,190,54,서울,영등포구
31,41,60,경기,안양시만안구
11,250,65,서울,강동구
11,250,52,서울,강동구
11,210,66,서울,관악구
11,170,51,서울,구로구
11,180,54,서울,금천구
11,250,59,서울,강동구
31,210,31,경기,이천시
11,190,73,서울,영등포구
11,170,70,서울,구로구
11,170,74,서울,구로구
11,210,73,서울,관악구
11,140,66,서울,마포구
31,230,13,경기,김포시
31,23,67,경기,성남시분당구
31,101,53,경기,고양시덕양구
11,80,63,서울,성북구
11,60,84,서울,동대문구
11,60,86,서울,동대문구
31,23,63,경기,성남시분당구
31,210,51,경기,이천시
11,80,71,서울,성북구
31,92,70,경기,안산시단원구
31,91,71,경기,안산시상록구
23,50,53,인천,남동구
11,240,59,서울,송파구
11,240,66,서울,송파구
31,50,87,경기,부천시
31,170,54,경기,의왕시
31,50,90,경기,부천시
11,90,73,서울,강북구
23,20,55,인천,동구
11,40,54,서울,성동구
11,40,71,서울,성동구
11,150,65,서울,양천구
31,92,78,경기,안산시단원구
11,210,52,서울,관악구
23,90,62,인천,시군구 조사코드 90
23,90,52,인천,시군구 조사코드 90
31,250,53,경기,광주시
31,270,40,경기,포천시
31,270,31,경기,포천시
11,90,71,서울,강북구
31,250,12,경기,광주시
11,220,62,서울,서초구
11,220,55,서울,서초구
31,91,55,경기,안산시상록구
31,92,59,경기,안산시단원구
31,280,51,경기,여주시
11,40,67,서울,성동구
31,240,64,경기,화성시
11,150,59,서울,양천구
31,192,65,경기,용인시기흥구
31,193,57,경기,용인시수지구
11,50,63,서울,광진구
11,50,65,서울,광진구
11,230,53,서울,강남구
