sido,미충족잠재수요율,인구,자연휴양림_수용인원,공급_10만명당,우선확충_원점수,우선확충지수,z_가중치,목적함수_가중치,기존참여_2023,수요수준,공급수준,정책판단,시설이용경험률,최근접시설거리_km,인구10만명당_시설수
서울,58.47697835199415,9331828.0,0.0,0.0,2.1686460294680954,100.0,1.590950145080681,1.590950145080681,0.0,상대적으로 높음,공급밀도 낮음,우선 공급·운영 보완 검토,39.444589643761866,23.322974999345465,0.0
부산,39.91226258886657,3266598.0,0.0,0.0,1.1299060764192979,76.2,0.8289154669689129,0.8289154669689129,0.0,상대적으로 낮음,공급밀도 낮음,우선 공급·운영 보완 검토,59.892049641689816,11.19379653579315,0.1021400380778062
대구,78.1901466577595,2363629.0,600.0,25.384694467701998,2.049701430569739,97.3,1.5036906641407155,1.5036906641407155,0.0,상대적으로 높음,공급밀도 낮음,우선 공급·운영 보완 검토,21.64588827484211,22.35672184081191,0.1908125657707062
인천,61.72570355059618,3021010.0,286.0,9.467032548717151,1.473672697775779,84.1,1.081107640652108,1.081107640652108,0.0,상대적으로 높음,공급밀도 낮음,우선 공급·운영 보완 검토,32.04571812807039,41.05305330971474,0.0914781515412422
광주,12.141589479046099,1408422.0,0.0,0.0,-0.42392906171527467,40.5,-0.31100050126910594,0.0,0.0,상대적으로 낮음,공급밀도 낮음,기존시설 활용·수요 관찰,87.85841052095391,14.581712230207025,0.0
대전,42.75697225457314,1439157.0,11000.0,764.3363441236779,-1.1901873636716331,22.9,-0.873138692611355,0.0,43287.0,상대적으로 낮음,공급밀도 높음,기존시설 활용·수요 관찰,53.385327588247364,7.037522873312874,0.3425775995359215
울산,35.57932783940295,1098049.0,272.0,24.77120784227298,-0.3256912588129312,42.8,-0.23893182585773676,0.0,8073.0,상대적으로 낮음,공급밀도 낮음,기존시설 활용·수요 관찰,63.97888105541646,17.87957797467026,0.2062842431843685
세종,42.59474201215878,390685.0,0.0,0.0,1.2799971731943502,79.6,0.9390244699804167,0.9390244699804167,0.0,상대적으로 낮음,공급밀도 낮음,우선 공급·운영 보완 검토,57.40525798784123,17.323381003424547,0.0
경기,58.62065824114708,13694685.0,6549.0,47.821472344927976,0.7249783838173803,66.9,0.5318546453602272,0.5318546453602272,5436.0,상대적으로 높음,공급밀도 낮음,우선 공급·운영 보완 검토,36.234661523692594,11.617955448600444,0.0766913139094955
강원,64.11878610923978,1517766.0,4629.0,304.9877253805923,0.34734690633601495,58.2,0.25481872261290495,0.25481872261290495,153918.0,상대적으로 높음,공급밀도 높음,기존시설 이용전환·접근 연계,3.3223423005984154,23.29323262991854,1.528179632421859
충북,47.0532871642841,1591177.0,9602.0,603.45266428562,-0.8616871565506554,30.5,-0.6321461815807106,0.0,8393.0,상대적으로 높음,공급밀도 높음,기존시설 이용전환·접근 연계,52.117554102792575,13.351466073056972,0.6822883405110066
충남,57.38226660927592,2136574.0,15277.0,715.023210054976,-0.3470002323686654,42.3,-0.2545643975680821,0.0,7277.0,상대적으로 높음,공급밀도 높음,기존시설 이용전환·접근 연계,41.60015064147824,14.97806565711724,0.2255363253817578
전북,21.831250810503462,1738690.0,8375.0,481.6844865962305,-2.188927752049185,0.0,-1.6058291105939173,0.0,0.0,상대적으로 낮음,공급밀도 높음,기존시설 활용·수요 관찰,77.78315456724168,24.291683514608817,0.3165538679717127
전남,24.08790997563652,1788819.0,10003.0,559.1957598840352,-2.1182649877923723,1.6,-1.5539898830212406,0.0,86217.0,상대적으로 낮음,공급밀도 높음,기존시설 활용·수요 관찰,72.80177333474886,20.880489732700777,0.8887461252255987
경북,69.67891044252393,2531384.0,8796.0,347.4779014167744,0.6099004784732666,64.2,0.44743182682966987,0.44743182682966987,258355.0,상대적으로 높음,공급밀도 높음,기존시설 이용전환·접근 연계,30.168936289204524,28.36501363309867,0.3841894925027554
경남,34.85856746256145,3228380.0,15211.0,471.1651044796462,-1.4517915297831159,16.9,-1.0650552988132695,0.0,0.0,상대적으로 낮음,공급밀도 높음,기존시설 활용·수요 관찰,65.00656529719494,9.408531302421588,0.207682594537117
제주,47.64156466806575,670368.0,4600.0,686.1902716120101,-0.8766698333100847,30.1,-0.6431376903102184,0.0,0.0,상대적으로 높음,공급밀도 높음,기존시설 이용전환·접근 연계,28.569327041477234,20.857442918799865,0.1685871553446342
