전국순위,기초,sido,인구,자연휴양림_개소,자연휴양림_수용인원,국립휴양림_개소,국립휴양림_연이용자,치유의숲_개소,치유의숲_면적ha,유아숲체험원_개소,수목원_개소,산림교육센터_개소,휴양림수용_10만명당,치유의숲ha_10만명당,유아숲_10만명당,수목원_10만명당,산림교육센터_10만명당,국립휴양림이용_천명당,접근성_상대_0to100,종합공급점수,시도_미충족잠재수요율,z_수요격차,z_공급부족,우선확충지수,우선확충지수_0100,등급,유형
1,대구 서구,대구,163135.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,80.3,-0.674,78.19,1.687,1.108,2.289,100.0,1순위(우선확충),A. 공급취약·수요高 → 신규확충
1,대구 동구,대구,342339.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,75.8,-0.674,78.19,1.687,1.108,2.289,100.0,1순위(우선확충),A. 공급취약·수요高 → 신규확충
1,대구 중구,대구,97711.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.2,-0.674,78.19,1.687,1.108,2.289,100.0,1순위(우선확충),A. 공급취약·수요高 → 신규확충
4,대구 북구,대구,413010.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.242,0.0,0.0,0.0,79.2,-0.604,78.19,1.687,0.993,2.174,98.3,1순위(우선확충),A. 공급취약·수요高 → 신규확충
5,대구 수성구,대구,409107.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,0.489,0.0,0.0,0.0,78.4,-0.545,78.19,1.687,0.897,2.078,96.9,1순위(우선확충),A. 공급취약·수요高 → 신규확충
6,대구 남구,대구,136263.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.734,0.0,0.0,0.0,83.8,-0.496,78.19,1.687,0.816,1.997,95.7,1순위(우선확충),A. 공급취약·수요高 → 신규확충
7,경북 울릉군,경북,9099.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.674,69.679,1.185,1.108,1.938,94.8,1순위(우선확충),A. 공급취약·수요高 → 신규확충
7,경북 영덕군,경북,33210.0,0.0,0.0,1.0,79267.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,2386.841,45.0,-0.674,69.679,1.185,1.108,1.938,94.8,1순위(우선확충),A. 공급취약·수요高 → 신규확충
9,대구 달서구,대구,522021.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0.0,0.0,0.766,0.192,0.0,0.0,86.3,-0.372,78.19,1.687,0.613,1.794,92.7,1순위(우선확충),A. 공급취약·수요高 → 신규확충
10,강원 속초시,강원,80933.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,53.6,-0.674,64.119,0.857,1.108,1.708,91.4,1순위(우선확충),A. 공급취약·수요高 → 신규확충
11,대구 군위군,대구,22463.0,1.0,200.0,0.0,0.0,0.0,0.0,0,0,0,890.353,0.0,0.0,0.0,0.0,0.0,60.6,-0.261,78.19,1.687,0.429,1.61,90.0,1순위(우선확충),A. 공급취약·수요高 → 신규확충
